Município1,Código Município IBGE,UF1,Dia,Data,Média de Índice De Isolamento(%)
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,5/8/2020,46
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,5/7/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,5/6/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,5/5/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,5/4/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,5/3/2020,61
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,5/2/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,5/1/2020,56
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,4/30/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,4/29/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,4/28/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,4/27/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,4/26/2020,59
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,4/25/2020,52
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,4/24/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,4/23/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,4/22/2020,48
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,4/21/2020,57
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,4/20/2020,51
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,4/19/2020,61
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,4/18/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,4/17/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,4/16/2020,50
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,4/15/2020,50
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,4/14/2020,50
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,4/13/2020,50
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,4/12/2020,60
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,4/11/2020,56
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,4/10/2020,59
